number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – January 2023 ,"SITUATION AT A GLANCE 8,173 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continue to launch attacks on population centers and critical infrastructure across Ukraine, including a countrywide missile attack on March 9 that resulted in at least nine deaths and damage to energy infrastructure.","Ukraine - Complex Emergency Fact Sheet #10, Fiscal Year (FY) 2023",['Ukraine'],2023-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-10-fiscal-year-fy-2023
158000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – December 2022 ,"SITUATION AT A GLANCE 8,173 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – March 2023 8.1 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – March 2023 5.4 MILLION People Internally Displaced Across UkraineIOM – January 2023 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 15.8 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – December 2022 • GoRF forces continue to launch attacks on population centers and critical infrastructure across Ukraine, including a countrywide missile attack on March 9 that resulted in at least nine deaths and damage to energy infrastructure.","Ukraine - Complex Emergency Fact Sheet #10, Fiscal Year (FY) 2023",['Ukraine'],2023-03-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-10-fiscal-year-fy-2023
8100000,refugees,not specified,europe,refugees to europe, UNHCR ,As of 28 February 2023 the United Nations High Commissioner for Refugees (UNHCR) has recorded 8.1 million refugees from Ukraine in Europe.,WHO Ukraine Crisis Response (February 2023 Bulletin),['Ukraine'],2023-03-28,['Situation Report'],https://reliefweb.int/report/ukraine/who-ukraine-crisis-response-february-2023-bulletin
59000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM ,"The International Organization for Migration (IOM) estimates that 5.4 million people are internally displaced across Ukraine as of 23 January 2023, a slight decrease from 5.9 million on 5 December 2022 (Fig.",WHO Ukraine Crisis Response (February 2023 Bulletin),['Ukraine'],2023-03-28,['Situation Report'],https://reliefweb.int/report/ukraine/who-ukraine-crisis-response-february-2023-bulletin
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM ,"The International Organization for Migration (IOM) estimates that 5.4 million people are internally displaced across Ukraine as of 23 January 2023, a slight decrease from 5.9 million on 5 December 2022 (Fig.",WHO Ukraine Crisis Response (February 2023 Bulletin),['Ukraine'],2023-03-28,['Situation Report'],https://reliefweb.int/report/ukraine/who-ukraine-crisis-response-february-2023-bulletin
8000000,refugees,not specified,europe,refugees to europe, Not specified ,"In Europe, 8 million refugees from Ukraine are recorded.",UNICEF Ukraine Refugee Response Humanitarian Situation Report (Full-Year): 24 February 2023,['Ukraine'],2023-02-25,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-refugee-response-humanitarian-situation-report-full-year-24-february-2023
8172189,refugees,not specified,europe,refugees to europe, UNHCR (18 April) ,"8,172,189 Individual refugees from Ukraine recorded across Europe (18 April) 5,044,039* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (18 April) 5,352,000 Estimated number of internally displaced people (IDPs) in Ukraine (23 January) Internal Displacement Report RECENT HIGHLIGTHS UNHCR published the Regional Protection Analysis #2 on 19 April, based on surveys, focus group discussions and border monitoring conducted between October 2022 and January 2023 in Hungary, Poland, the Republic of Moldo- va, Romania, and Slovakia.",Ukraine Situation Flash Update #45 (21 April 2023),['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-45-21-april-2023
5044039,refugees,not specified,europe,refugees to europe, UNHCR (18 April) ,"8,172,189 Individual refugees from Ukraine recorded across Europe (18 April) 5,044,039* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (18 April) 5,352,000 Estimated number of internally displaced people (IDPs) in Ukraine (23 January) Internal Displacement Report RECENT HIGHLIGTHS UNHCR published the Regional Protection Analysis #2 on 19 April, based on surveys, focus group discussions and border monitoring conducted between October 2022 and January 2023 in Hungary, Poland, the Republic of Moldo- va, Romania, and Slovakia.",Ukraine Situation Flash Update #45 (21 April 2023),['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-45-21-april-2023
5352000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report (23 January) ,"8,172,189 Individual refugees from Ukraine recorded across Europe (18 April) 5,044,039* Refugees from Ukraine registered for temporary protection or similar national protection schemes in Europe (18 April) 5,352,000 Estimated number of internally displaced people (IDPs) in Ukraine (23 January) Internal Displacement Report RECENT HIGHLIGTHS UNHCR published the Regional Protection Analysis #2 on 19 April, based on surveys, focus group discussions and border monitoring conducted between October 2022 and January 2023 in Hungary, Poland, the Republic of Moldo- va, Romania, and Slovakia.",Ukraine Situation Flash Update #45 (21 April 2023),['Ukraine'],2023-04-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-45-21-april-2023
75000000,children,not specified,not specified,children, UNICEF report on 24 February ,"Overview: The situation for Ukrainian Children Since 24 February, 7.5 million children from Ukraine1 have been victims of the largest human displacement crisis in the world today, with lasting consequences for generations to come.",Impact of War on Ukraine's Children: A Child Protection Report,['Ukraine'],2023-01-31,['Situation Report'],https://reliefweb.int/report/ukraine/impact-war-ukraines-children-child-protection-report
8000000,refugees,not specified,europe,refugees to europe, UNHCR – January 2023 ,"SITUATION AT A GLANCE 7,031 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks on Ukraine result in civilian deaths and injuries, including a strike on an apartment in Dnipro that caused 45 deaths and injury to nearly 80 other people on January 14.","Ukraine - Complex Emergency Fact Sheet #7, Fiscal Year (FY) 2023",['Ukraine'],2023-01-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-7-fiscal-year-fy-2023
59000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – December 2022 ,"SITUATION AT A GLANCE 7,031 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks on Ukraine result in civilian deaths and injuries, including a strike on an apartment in Dnipro that caused 45 deaths and injury to nearly 80 other people on January 14.","Ukraine - Complex Emergency Fact Sheet #7, Fiscal Year (FY) 2023",['Ukraine'],2023-01-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-7-fiscal-year-fy-2023
177000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – November 2022 ,"SITUATION AT A GLANCE 7,031 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks on Ukraine result in civilian deaths and injuries, including a strike on an apartment in Dnipro that caused 45 deaths and injury to nearly 80 other people on January 14.","Ukraine - Complex Emergency Fact Sheet #7, Fiscal Year (FY) 2023",['Ukraine'],2023-01-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-7-fiscal-year-fy-2023
139000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – January 2023 ,"SITUATION AT A GLANCE 7,031 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks on Ukraine result in civilian deaths and injuries, including a strike on an apartment in Dnipro that caused 45 deaths and injury to nearly 80 other people on January 14.","Ukraine - Complex Emergency Fact Sheet #7, Fiscal Year (FY) 2023",['Ukraine'],2023-01-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-7-fiscal-year-fy-2023
17000000,total population,not specified,not specified,total population, UNHCR ,"UNHCR reported that since 24 February 2022, there
have been more than 17 million border crossings from Ukraine, and more than 9.1 million border
crossings into Ukraine have occurred since 28 February 2022.","War in Ukraine: situation report from WHO Ukraine country office. Issue No. 40, 11 January 2023",['Ukraine'],2023-01-11,['Situation Report'],https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no-40-11-january-2023
9100000,total population,not specified,not specified,total population, UNHCR ,"UNHCR reported that since 24 February 2022, there
have been more than 17 million border crossings from Ukraine, and more than 9.1 million border
crossings into Ukraine have occurred since 28 February 2022.","War in Ukraine: situation report from WHO Ukraine country office. Issue No. 40, 11 January 2023",['Ukraine'],2023-01-11,['Situation Report'],https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no-40-11-january-2023
8600000,refugees,not specified,poland,refugees to poland, UNHCR ,"UNHCR notes that the majority of
Ukrainians refugees crossed the border into Poland – 8.6 million – of which 1.5 million have officially
registered in the country, and 6.5 million have since returned to Ukraine.","War in Ukraine: situation report from WHO Ukraine country office. Issue No. 40, 11 January 2023",['Ukraine'],2023-01-11,['Situation Report'],https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no-40-11-january-2023
49000000,total population,not specified,not specified,total population," Ministry of Social Policy, Ukraine ","The Ministry of Social Policy stated that 4.9 million displaced people are registered in Ukraine, of
which more than 3.5 million acquired this status after 24 February 2022.","War in Ukraine: situation report from WHO Ukraine country office. Issue No. 40, 11 January 2023",['Ukraine'],2023-01-11,['Situation Report'],https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no-40-11-january-2023
35000000,total population,not specified,not specified,total population," Ministry of Social Policy, Ukraine ","The Ministry of Social Policy stated that 4.9 million displaced people are registered in Ukraine, of
which more than 3.5 million acquired this status after 24 February 2022.","War in Ukraine: situation report from WHO Ukraine country office. Issue No. 40, 11 January 2023",['Ukraine'],2023-01-11,['Situation Report'],https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no-40-11-january-2023
79000000,refugees,not specified,europe,refugees to europe, UNHCR – January 2023     ,"SITUATION AT A GLANCE 6,919
UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 7.9 MILLION
Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION
People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION
People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.6 MILLION
People Reached With Humanitarian Assistance in UkraineUN – December 2022 GoRF strikes in late December and early January continued to result in civilian casualties and utility outages.","Ukraine - Complex Emergency Fact Sheet #6, Fiscal Year (FY) 2023",['Ukraine'],2023-01-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-6-fiscal-year-fy-2023
