Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
---------------------,------------------------------------,------------------,--------------------------------,"More than 1,700 buildings have been completely destroyed, more than 5,700 have been heavily damaged or partially destroyed, and over 11,000 families are homeless (OCHA).",Syria,2023-02-14 17:59:47+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-flash-appeal-iom-earthquake-response-february-may-2023-published-14-february-2023,
"        1,700        ",              Destroyed             ,     Household    ,"              11,000            ","More than 1,700 buildings have been completely destroyed, more than 5,700 have been heavily damaged or partially destroyed, and over 11,000 families are homeless (OCHA).",Syria,2023-02-14 17:59:47+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-flash-appeal-iom-earthquake-response-february-may-2023-published-14-february-2023,
"        5,700        ",              Heavily Damaged       ,     Household    ,                                 ,"More than 1,700 buildings have been completely destroyed, more than 5,700 have been heavily damaged or partially destroyed, and over 11,000 families are homeless (OCHA).",Syria,2023-02-14 17:59:47+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-flash-appeal-iom-earthquake-response-february-may-2023-published-14-february-2023,
                     ,              Partially Destroyed   ,     Residence    ,                                 ,"More than 1,700 buildings have been completely destroyed, more than 5,700 have been heavily damaged or partially destroyed, and over 11,000 families are homeless (OCHA).",Syria,2023-02-14 17:59:47+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-flash-appeal-iom-earthquake-response-february-may-2023-published-14-february-2023,
---------------------,----------------,-----------------,----------------------,"More than 7,400 buildings have been completely or partially destroyed.",Syria,2023-02-14 15:35:13+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/nearly-9-million-people-syria-affected-turkiye-earthquake-un-launches-400-million-funding-appeal,
" 7,400               ", partially/ completely destroyed , Household/Residence , Not specified         ,"More than 7,400 buildings have been completely or partially destroyed.",Syria,2023-02-14 15:35:13+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/nearly-9-million-people-syria-affected-turkiye-earthquake-un-launches-400-million-funding-appeal,
----------------,--------,------,-----------------------,"UNHCR has warned that according to its preliminary data, as many as 5.3 million people in Syria may have been affected by the recent earthquake and will need some form of shelter assistance.",Syria,2023-02-14 14:17:22+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worlds-deadliest-earthquake-leaves-over-33000-dead,Syria
  -             , damaged/destroyed , household/residence , - ,"UNHCR has warned that according to its preliminary data, as many as 5.3 million people in Syria may have been affected by the recent earthquake and will need some form of shelter assistance.",Syria,2023-02-14 14:17:22+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worlds-deadliest-earthquake-leaves-over-33000-dead,Syria
       -        , -      ,     -   ,          5.3 million                 ,"UNHCR has warned that according to its preliminary data, as many as 5.3 million people in Syria may have been affected by the recent earthquake and will need some form of shelter assistance.",Syria,2023-02-14 14:17:22+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worlds-deadliest-earthquake-leaves-over-33000-dead,Syria
,,,,"UNHCR has warned that according to its preliminary data, as many as 5.3 million people in Syria may have been affected by the recent earthquake and will need some form of shelter assistance.",Syria,2023-02-14 14:17:22+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/worlds-deadliest-earthquake-leaves-over-33000-dead,Syria
:--------:,:-------:,:-------:,:--------:,"At least 1,500 buildings have been completely destroyed, and over 5,500 buildings partially destroyed, resulting in over 11,000 families now homeless.",Syria,2023-02-14 15:00:00+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/flash-appeal-syrian-arab-republic-earthquake-february-may-2023-enar,
" 1,500 ", Destroyed , Not specified , Not specified ,"At least 1,500 buildings have been completely destroyed, and over 5,500 buildings partially destroyed, resulting in over 11,000 families now homeless.",Syria,2023-02-14 15:00:00+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/flash-appeal-syrian-arab-republic-earthquake-february-may-2023-enar,
" 5,500 ", Partially Destroyed , Not specified , Not specified ,"At least 1,500 buildings have been completely destroyed, and over 5,500 buildings partially destroyed, resulting in over 11,000 families now homeless.",Syria,2023-02-14 15:00:00+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/flash-appeal-syrian-arab-republic-earthquake-february-may-2023-enar,
 Not specified , Not specified , Household ," 11,000 families homeless ","At least 1,500 buildings have been completely destroyed, and over 5,500 buildings partially destroyed, resulting in over 11,000 families now homeless.",Syria,2023-02-14 15:00:00+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/flash-appeal-syrian-arab-republic-earthquake-february-may-2023-enar,
 Not specified , Not specified , Residence , Not specified ,"At least 1,500 buildings have been completely destroyed, and over 5,500 buildings partially destroyed, resulting in over 11,000 families now homeless.",Syria,2023-02-14 15:00:00+00:00,Appeal,https://reliefweb.int/report/syrian-arab-republic/flash-appeal-syrian-arab-republic-earthquake-february-may-2023-enar,
-------------------------------,-----------------------------------------,------------------,--------------------------------,"An IDP camp in the village was also affected (Al Jazeera 11/02/2023;
France24, AFP 09/02/2023).",Türkiye,2023-02-14 13:30:50+00:00,Analysis,https://reliefweb.int/report/turkiye/turkiyesyria-acaps-thematic-report-profiles-earthquake-affected-governorates-13-february-2023,
 1                             , Affected                                , IDP Camp         , Unknown                        ,"An IDP camp in the village was also affected (Al Jazeera 11/02/2023;
France24, AFP 09/02/2023).",Türkiye,2023-02-14 13:30:50+00:00,Analysis,https://reliefweb.int/report/turkiye/turkiyesyria-acaps-thematic-report-profiles-earthquake-affected-governorates-13-february-2023,
-------------,----------------,---------------,----------------------,"It is estimated that 1 million people in the region have lost their home which emphasizes the urgent need for more shelter in the harsh cold winter temperatures for the few hundred thousand still unable to be accommodated in tents and designated centers at capacity, in addition to the 158,000 already evacuated.",Türkiye,2023-02-14 04:38:25+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-monday-13-february-2023-situation-report-updated-2359-gmt3-turkiye-syria-earthquakes-1-week-158000-evacuated-more-one-million-homeless-region,
"    1,000,000 ",  Lost          ,  Household    ,          -           ,"It is estimated that 1 million people in the region have lost their home which emphasizes the urgent need for more shelter in the harsh cold winter temperatures for the few hundred thousand still unable to be accommodated in tents and designated centers at capacity, in addition to the 158,000 already evacuated.",Türkiye,2023-02-14 04:38:25+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-monday-13-february-2023-situation-report-updated-2359-gmt3-turkiye-syria-earthquakes-1-week-158000-evacuated-more-one-million-homeless-region,
"    158,000  ", Evacuated      ,  Residence    ,          -           ,"It is estimated that 1 million people in the region have lost their home which emphasizes the urgent need for more shelter in the harsh cold winter temperatures for the few hundred thousand still unable to be accommodated in tents and designated centers at capacity, in addition to the 158,000 already evacuated.",Türkiye,2023-02-14 04:38:25+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-monday-13-february-2023-situation-report-updated-2359-gmt3-turkiye-syria-earthquakes-1-week-158000-evacuated-more-one-million-homeless-region,
---------------------,--------,---------------,-----------------------,● Education: At least 453 schools damaged by the earthquake and 126 used as shelters.,Syria,2023-02-13 19:23:05+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-daily-highlights-13022023,
 453                 , Damaged , Educational   , -                     ,● Education: At least 453 schools damaged by the earthquake and 126 used as shelters.,Syria,2023-02-13 19:23:05+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-daily-highlights-13022023,
 126                 , -      , Educational   , -                     ,● Education: At least 453 schools damaged by the earthquake and 126 used as shelters.,Syria,2023-02-13 19:23:05+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-february-2023-government-controlled-areas-daily-highlights-13022023,
 --- , --- , --- , --- ,"Over 6,500 buildings have collapsed in Türkiye, leaving hundreds of thousands homeless in the freezing cold; shelters and evacuations are not enough yet and the situation is dire for those still left on the street.",Türkiye,2023-02-13 20:41:11+00:00,Appeal,https://reliefweb.int/report/turkiye/ibc-appeal-emergency-earthquake-response-turkiye-north-syria-12-february-2023,Türkiye
" 6,500 ", Collapsed , Not specified , Not specified ,"Over 6,500 buildings have collapsed in Türkiye, leaving hundreds of thousands homeless in the freezing cold; shelters and evacuations are not enough yet and the situation is dire for those still left on the street.",Türkiye,2023-02-13 20:41:11+00:00,Appeal,https://reliefweb.int/report/turkiye/ibc-appeal-emergency-earthquake-response-turkiye-north-syria-12-february-2023,Türkiye
---------------------,------------------,--------------------,-----------------------,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 20:41:11+00:00,Appeal,https://reliefweb.int/report/turkiye/ibc-appeal-emergency-earthquake-response-turkiye-north-syria-12-february-2023,
         1           ,     Collapsed     ,   Dam              ,           N/A         ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 20:41:11+00:00,Appeal,https://reliefweb.int/report/turkiye/ibc-appeal-emergency-earthquake-response-turkiye-north-syria-12-february-2023,
         N/A         , Damaged/Destroyed ,  Household/Residence ,          N/A         ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 20:41:11+00:00,Appeal,https://reliefweb.int/report/turkiye/ibc-appeal-emergency-earthquake-response-turkiye-north-syria-12-february-2023,
         N/A         ,       N/A        ,  N/A                ,"          30,000      ","In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 20:41:11+00:00,Appeal,https://reliefweb.int/report/turkiye/ibc-appeal-emergency-earthquake-response-turkiye-north-syria-12-february-2023,
 -------------------, --------------------, -----------------, ----------------------,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 1                  , collapsed            , Dam              , N/A                   ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A                , destroyed            , Household        , N/A                   ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A                , damaged              , Residence        , N/A                   ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A                , flooded              , N/A              , N/A                   ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A                , N/A                  , N/A              , N/A                   ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
" 30,000             ", N/A                  , N/A              , Reported losses in the housing sector ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 --- , --- , --- , --- ,"Over 6,500 buildings have collapsed in Türkiye, leaving hundreds of thousands homeless in the freezing cold; shelters and evacuations are not enough yet and the situation is dire for those still left on the street.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,Türkiye
" 6,500 ", Collapsed , Not specified , Hundreds of thousands homeless ,"Over 6,500 buildings have collapsed in Türkiye, leaving hundreds of thousands homeless in the freezing cold; shelters and evacuations are not enough yet and the situation is dire for those still left on the street.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,Türkiye
 --- , --- , --- , --- ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A , N/A , N/A , N/A ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 1 dam , collapsed , N/A , N/A ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
" >30,000 ", N/A , N/A , N/A ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A , damaged , household / residence , N/A ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 N/A , destroyed , household / residence , N/A ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-13 04:04:39+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-sunday-12-february-2023-updated-2359-gmt3-turkiye-syria-earthquakes-day-7-devastation-continues-more-34000-dead-disaster-century,
 :----------------: , :---------------: , :-----------: , :------------------: ,"In a crowded school where more than 100 families had sought shelter, a traditional community leader went out of his way to reassure the stressed-out facility manager of the facility that things would be okay.",Syria,2023-02-13 11:54:21+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/turkiye-syria-earthquake-response-eyewitness-accounts-our-team-aleppo,
         1          ,         0         ,   Household   ,          100+        ,"In a crowded school where more than 100 families had sought shelter, a traditional community leader went out of his way to reassure the stressed-out facility manager of the facility that things would be okay.",Syria,2023-02-13 11:54:21+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/turkiye-syria-earthquake-response-eyewitness-accounts-our-team-aleppo,
 --------------------- , ---------------- , -------------, ----------------------------- ,"The estimated number of the injured and displaced people have been constantly rising, while well over 11,000 buildings were destroyed.",Türkiye,2023-02-13 01:45:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/amda-emergency-relief-01-earthquakes-turkiye-12-february-2023,
" 11,000                ", Destroyed        , Not Mentioned , Not Mentioned                  ,"The estimated number of the injured and displaced people have been constantly rising, while well over 11,000 buildings were destroyed.",Türkiye,2023-02-13 01:45:05+00:00,News and Press Release,https://reliefweb.int/report/turkiye/amda-emergency-relief-01-earthquakes-turkiye-12-february-2023,
 --- , --- , --- , --- ,"The 7.8-magnitude earthquake, the most devastating disaster sweeping Turkey since 1939, has so far caused over 15,000 deaths and destroyed dozens of thousands of houses.",Türkiye,2023-02-13 00:54:57+00:00,News and Press Release,https://reliefweb.int/report/turkiye/viet-nam-sends-24-member-rescue-team-turkey,Türkiye
 Dozens of thousands , Destroyed , Household/Residence , Not specified ,"The 7.8-magnitude earthquake, the most devastating disaster sweeping Turkey since 1939, has so far caused over 15,000 deaths and destroyed dozens of thousands of houses.",Türkiye,2023-02-13 00:54:57+00:00,News and Press Release,https://reliefweb.int/report/turkiye/viet-nam-sends-24-member-rescue-team-turkey,Türkiye
" 15,000 ", - , - , - ,"The 7.8-magnitude earthquake, the most devastating disaster sweeping Turkey since 1939, has so far caused over 15,000 deaths and destroyed dozens of thousands of houses.",Türkiye,2023-02-13 00:54:57+00:00,News and Press Release,https://reliefweb.int/report/turkiye/viet-nam-sends-24-member-rescue-team-turkey,Türkiye
---------------------,----------------,---------------,----------------------,More than 4000 buildings collapsed in Türkiye.,Türkiye,2023-02-12 22:36:11+00:00,Appeal,https://reliefweb.int/report/turkiye/who-flash-appeal-earthquake-response-turkiye-and-whole-syria-10-february-2023,Türkiye
        4000         ,     Collapsed   , All           ,           -          ,More than 4000 buildings collapsed in Türkiye.,Türkiye,2023-02-12 22:36:11+00:00,Appeal,https://reliefweb.int/report/turkiye/who-flash-appeal-earthquake-response-turkiye-and-whole-syria-10-february-2023,Türkiye
-------------------,--------------------,-----------------,--------------------------------,"Over 12,000 buildings have been destroyed and many more are threatening to crumble.",Türkiye,2023-02-13 02:26:53+00:00,News and Press Release,https://reliefweb.int/report/turkiye/earthquake-oxfam-and-partners-aim-reach-nearly-2-million-affected-people-turkiye-and-syria,
"       12,000      ",      Destroyed     ,    N/A (not mentioned)    ,          N/A (not mentioned)          ,"Over 12,000 buildings have been destroyed and many more are threatening to crumble.",Türkiye,2023-02-13 02:26:53+00:00,News and Press Release,https://reliefweb.int/report/turkiye/earthquake-oxfam-and-partners-aim-reach-nearly-2-million-affected-people-turkiye-and-syria,
---------------------,---------------------,--------------------,--------------------------------,"More than 7,400 buildings have been partially or fully damaged in the north-west alone.",Syria,2023-02-12 19:17:33+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/earthquakes-north-west-syria-flash-update-no-6-12-february-2023,
" 7,400               ", Partially or Fully   , Not specified       , Not specified                  ,"More than 7,400 buildings have been partially or fully damaged in the north-west alone.",Syria,2023-02-12 19:17:33+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/earthquakes-north-west-syria-flash-update-no-6-12-february-2023,
 --- , --- , --- , --- ,"The number of completely destroyed buildings was 1,772 and the number of partially destroyed buildings was 5,786 The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:22:20+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v03-08-february-2023-enar,
" 1,772 ", Completely Destroyed , Unknown , Unknown ,"The number of completely destroyed buildings was 1,772 and the number of partially destroyed buildings was 5,786 The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:22:20+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v03-08-february-2023-enar,
" 5,786 ", Partially Destroyed , Unknown , Unknown ,"The number of completely destroyed buildings was 1,772 and the number of partially destroyed buildings was 5,786 The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:22:20+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v03-08-february-2023-enar,
" 11,000+ ", N/A , Household/Residence , Homelessness ,"The number of completely destroyed buildings was 1,772 and the number of partially destroyed buildings was 5,786 The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:22:20+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v03-08-february-2023-enar,
------------------------------,-----------------------------------------,------------------,--------------------------------,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:16:40+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-06-february-2023-enar,
            Not mentioned            ,      Not mentioned                                , Not mentioned         ,              Not mentioned               ,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:16:40+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-06-february-2023-enar,
"                                11,000                          ",              Homeless                                ,  Residence           ,     Not mentioned                 ,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:16:40+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-06-february-2023-enar,
 :----------------: , :--------------: , :-----------:, :---------------------------: ,"More than 11,000 buildings were destroyed and many thousands of people were trapped in the rubble.",Türkiye,2023-02-12 01:31:22+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-humanity-first-situation-update-01-11-february-2023,
"       11,000       ",     Destroyed    ,   Household  ,          Not reported         ,"More than 11,000 buildings were destroyed and many thousands of people were trapped in the rubble.",Türkiye,2023-02-12 01:31:22+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-humanity-first-situation-update-01-11-february-2023,
 --- , --- , --- , --- ,"The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:26:58+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v06-11-february-2023-enar,
 - , - , Household ," 11,000 families/homeless ","The number of affected families from this earthquake is over 11,000 families who are now homeless.",Syria,2023-02-12 17:26:58+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/humanitarian-situation-north-west-syria-following-devastating-earthquake-situation-report-v06-11-february-2023-enar,
 :-----------------: , :-----------: , :--------------: , :------------------: ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
        0            ,      N/A      ,        N/A       ,         N/A          ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
"        30,000       ",      N/A      ,        N/A       ,         N/A          ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
        N/A          ,  Destroyed    ,     Household    ,         N/A          ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
        N/A          ,  Destroyed    ,     Residence    ,         N/A          ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
        N/A          ,   Damaged     ,     Household    ,         N/A          ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
        N/A          ,   Damaged     ,     Residence    ,         N/A          ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
        N/A          ,     N/A       ,        N/A       ,   Housing Sector     ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
                     ,               ,                  ,        Losses        ,"In addition, more than 30,000 displacement movements were recorded in the area during the week after the collapse of a dam caused flooding and further destruction of homes.",Türkiye,2023-02-12 05:16:48+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-saturday-11-february-2023-updated-2359-gmt3-we-cannot-express-through-words-about-what-we-saw-everybody-feels-desperate-against-destruction,
 ------------------ , ------------------------- , ---------------- , -----------------------------,"Official figures confirm that while 6,444 buildings collapsed, more than 11,340 buildings destroyed.",Türkiye,2023-02-11 00:00:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-and-syria-earthquake-emergency-situation-update-2,
